country	city	At birth	0–14 years	15–24 years	25–54 years	55–64 years	Over 65	Total
Afghanistan	Kabul	1.05	1.03	1.03	1.03	0.97	0.85	1.03
Albania	Tirana	1.08	1.11	1.09	0.93	0.95	0.87	0.98
Algeria	Algiers	1.05	1.05	1.05	1.03	1.01	0.89	1.03
American Samoa(US)	Tafuna	1.06	1.06	1.01	0.98	0.96	0.86	1.00
Andorra	Andorra la Vella	1.07	1.06	1.06	1.04	1.12	1.03	1.06
Angola	Luanda	1.03	0.99	0.95	0.91	0.89	0.72	0.95
Anguilla(UK)	North Side	1.03	1.04	1.02	0.81	0.79	0.98	0.90
Antigua and Barbuda	St. John's	1.05	1.03	0.99	0.85	0.80	0.75	0.89
Argentina	Buenos Aires	1.07	1.06	1.05	1.00	0.94	0.73	0.98
Armenia	Yerevan	1.10	1.12	1.10	0.97	0.85	0.68	0.95
Aruba(Netherlands)	Oranjestad	1.02	1.01	1.01	0.93	0.88	0.65	0.90
Australia	Sydney	1.06	1.06	1.09	0.99	0.93	0.86	0.99
Austria	Vienna	1.05	1.05	1.03	1.00	0.99	0.78	0.96
Azerbaijan	Baku	1.06	1.13	1.14	0.98	0.84	0.64	0.98
Bahrain	Manama	1.03	1.03	1.31	1.87	1.67	1.04	1.53
Bangladesh	Dhaka	1.04	1.04	1.00	0.92	0.97	0.89	0.97
Barbados	Bridgetown	1.01	1.00	0.98	0.99	0.91	0.70	0.94
Belarus	Minsk	1.06	1.06	1.06	0.98	0.79	0.48	0.87
Belgium	Brussels	1.05	1.05	1.04	1.02	0.99	0.78	0.97
Belize	Belize City	1.05	1.04	1.07	0.95	0.98	0.94	1.00
Benin	Cotonou	1.05	1.02	0.99	0.90	0.92	0.84	0.97
Bermuda(UK)	St. George's	1.02	1.02	1.01	1.01	0.90	0.74	0.94
Bhutan	Thimphu	1.05	1.05	1.04	1.12	1.15	1.08	1.08
Bolivia	Santa Cruz de la Sierra	1.05	1.04	1.03	0.97	0.85	0.78	0.98
